"STATION","NAME","DATE","TMAX"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-08-08","90"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-08-09","89"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-08-10","90"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-08-11","90"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-08-12","91"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-08-13","90"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-08-14","91"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-08-15","92"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-08-16","92"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-08-17","94"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-08-18","94"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-08-19","95"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-08-20","93"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-08-21","92"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-08-22","91"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-08-23","92"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-08-24","87"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-08-25","94"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-08-26","91"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-08-27","91"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-08-28","92"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-08-29","92"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-08-30","90"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-08-31","90"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-09-01","91"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-09-02","91"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-09-03","84"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-09-04","89"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-09-05","90"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-09-06","90"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-09-07","90"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-09-08","91"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-09-09","93"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-09-10","88"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-09-11","90"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-09-12","89"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-09-13","86"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-09-14","88"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-09-15","89"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-09-16","90"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-09-17","89"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-09-18","90"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-09-19","88"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-09-20","94"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-09-21","91"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-09-22","89"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-09-23","88"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-09-24","86"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-09-25","88"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-09-26","88"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1992-09-27","89"
