#depth	age	UK37	SST
98.26	1366.40	0.924	26.02
98.36	1368.79	0.872	24.49
98.45	1370.94	0.864	24.27
98.55	1373.33	0.863	24.23
98.65	1375.72	0.872	24.51
98.74	1377.87	0.871	24.47
98.845	1380.38	0.842	23.62
98.95	1382.89	0.874	24.56
99.04	1385.04	0.938	26.45
99.15	1387.67	0.950	26.78
99.25	1390.06	0.954	26.90
99.35	1392.45	0.950	26.80
99.45	1394.84	0.952	26.86
99.55	1397.23	0.933	26.30
99.65	1399.62	0.947	26.70
99.75	1402.01	0.942	26.57
99.85	1404.40	0.916	25.80
99.95	1406.79	0.916	25.79
100.05	1409.18	0.902	25.38
100.15	1412.88	0.908	25.56
100.25	1416.58	0.920	25.92
100.35	1420.29	0.926	26.09
100.45	1423.99	0.946	26.67
100.55	1427.69	0.942	26.57
100.65	1431.39	0.951	26.83
100.75	1435.09	0.943	26.58
100.85	1438.80	0.945	26.64
100.95	1442.50	0.945	26.64
101.05	1446.20	0.964	27.22
101.15	1448.41	0.974	27.51
101.25	1450.63	0.950	26.79
101.35	1452.84	0.916	25.80
101.45	1455.06	0.898	25.26
101.55	1457.27	0.906	25.49
101.65	1459.46	0.908	25.57
101.75	1461.65	0.899	25.31
101.85	1463.83	0.901	25.35
101.95	1466.02	0.923	26.01
102.05	1468.21	0.911	25.66
102.15	1470.40	0.923	25.99
102.25	1472.58	0.933	26.30
102.35	1474.77	0.962	27.14
102.45	1478.11	0.954	26.92
102.55	1481.45	0.960	27.08
102.65	1484.78	0.948	26.75
102.75	1488.12	0.930	26.21
102.85	1491.46	0.928	26.16
102.95	1494.80	0.920	25.91
103.05	1498.13	0.914	25.74
103.15	1501.47	0.916	25.78
103.25	1503.13	0.903	25.41
103.35	1504.80	0.915	25.77
103.45	1506.46	0.921	25.93
103.55	1508.12	0.919	25.88
103.65	1509.78	0.921	25.95
103.75	1511.45	0.926	26.08
103.85	1513.11	0.929	26.19
103.95	1514.77	0.928	26.15
104.05	1516.43	0.926	26.10
104.15	1518.10	0.926	26.08
104.25	1519.76	0.938	26.44
104.35	1521.42	0.948	26.73
104.45	1523.08	0.950	26.79
104.55	1524.75	0.945	26.65
104.65	1526.41	0.932	26.25
104.75	1528.07	0.928	26.15
104.85	1529.73	0.932	26.26
104.95	1531.40	0.912	25.69
105.05	1533.06	0.900	25.34
105.15	1534.72	0.879	24.71
105.25	1536.37	0.883	24.82
105.35	1538.02	0.862	24.21
105.45	1539.67	0.869	24.40
105.55	1541.32	0.862	24.21
105.65	1542.97	0.863	24.24
105.75	1544.62	0.883	24.82
105.85	1546.27	0.901	25.36
105.95	1547.92	0.918	25.84
106.05	1549.57	0.909	25.60
106.15	1551.22	0.957	27.00
106.25	1552.87	0.944	26.62
106.35	1554.52	0.934	26.31
106.45	1556.16	0.940	26.50
106.55	1557.81	0.941	26.54
106.65	1559.46	0.943	26.59
106.75	1561.11	0.942	26.55
106.85	1562.76	0.918	25.85
107.05	1566.06	0.935	26.35
107.15	1567.71	0.928	26.14
107.25	1569.36	0.930	26.21
107.35	1571.01	0.919	25.88
107.45	1572.66	0.903	25.42
107.55	1574.31	0.897	25.24
107.65	1575.96	0.892	25.09
107.75	1578.27	0.883	24.83
107.95	1582.88	0.928	26.14
108.05	1585.19	0.939	26.47
108.15	1587.50	0.948	26.73
108.25	1589.80	0.952	26.85
108.35	1592.11	0.936	26.38
108.45	1597.48	0.929	26.18
108.54	1602.31	0.926	26.08
108.65	1608.22	0.926	26.09
108.76	1614.13	0.933	26.31
108.84	1618.42	0.931	26.23
108.93	1623.26	0.935	26.34
109.05	1629.70	0.935	26.37
109.13	1632.59	0.929	26.17
