#%		No tun			Min tun Muller/MacDo	Age model deMenocal
#%m	%terr	age	sr	flux	age	sr	flux 	age	sr	flux
0.04	18.94	1.3	3.12	0.62	0.95	4.23	0.84	6.35	2.76	0.55
0.24	17.96	7.7	3.12	0.59	5.68	4.22	0.80	8.71	8.47	1.60
0.44	26.48	14.1	3.12	0.87	10.42	4.22	1.17	11.07	8.47	2.36
0.64	44.77	20.5	3.12	1.47	15.15	4.22	1.99	13.43	8.47	3.98
0.84	35.34	26.9	3.12	1.16	19.89	4.22	1.57	15.79	8.02	2.97
1.04	33.99	33.4	3.12	1.11	24.63	4.22	1.51	18.42	5.94	2.12
1.24	38.60	39.8	3.12	1.26	29.36	4.22	1.71	22.52	4.88	1.98
1.44	32.85	46.2	3.12	1.08	34.10	4.22	1.46	26.62	4.87	1.68
1.64	35.50	52.6	3.12	1.16	38.83	4.22	1.57	30.73	4.87	1.82
1.84	32.34	59.0	3.12	1.06	43.57	4.22	1.43	34.83	4.87	1.65
2.04	27.03	65.4	3.12	0.88	48.31	4.22	1.20	38.94	4.87	1.38
2.24	30.65	71.9	3.12	1.00	53.04	4.22	1.36	43.04	4.87	1.57
2.44	37.52	78.3	3.12	1.23	57.78	4.22	1.66	47.15	4.87	1.92
2.64	23.08	84.7	3.12	0.76	62.51	4.22	1.02	51.25	4.88	1.18
2.84	26.75	91.1	3.12	0.88	67.25	4.22	1.19	55.35	4.87	1.37
3.04	27.89	97.5	3.12	0.91	71.98	4.22	1.24	59.46	4.87	1.43
3.24	37.49	103.9	3.12	1.23	76.72	4.22	1.66	63.56	4.24	1.67
3.44	37.67	110.4	3.12	1.23	81.46	4.22	1.67	68.9	3.53	1.40
3.64	27.12	116.8	3.12	0.89	86.19	4.22	1.20	74.9	3.19	0.91
3.84	28.61	123.2	3.12	0.94	90.93	4.22	1.27	81.42	2.50	0.75
4.04	22.32	129.6	3.12	0.73	95.66	4.22	0.99	90.92	2.11	0.49
4.24	19.90	136.0	3.12	0.65	100.40	4.22	0.88	100.4	2.14	0.45
4.44	23.58	142.4	3.12	0.77	105.13	4.23	1.05	109.6	2.17	0.54
4.64	28.85	148.9	3.12	0.94	109.85	4.23	1.28	118.8	2.78	0.84
4.84	19.20	155.3	3.12	0.63	114.58	4.23	0.85	124	4.76	0.96
5.04	35.89	161.7	3.12	1.17	119.30	4.23	1.60	127.2	6.35	2.39
5.24	38.65	168.1	3.12	1.26	124.03	4.23	1.72	130.3	6.39	2.59
5.43	37.15	174.2	3.12	1.22	128.52	4.23	1.65	133.3	6.30	2.46
5.58	30.28	179.0	3.12	0.99	132.06	4.23	1.35	135.7	5.96	1.90
5.74	32.06	184.2	3.12	1.05	135.84	4.23	1.42	138.5	5.71	1.92
5.94	34.24	190.6	3.12	1.12	140.57	4.23	1.52	142	5.80	2.08
6.14	38.86	197.0	3.12	1.27	145.29	4.23	1.73	145.4	5.80	2.37
6.34	44.92	203.4	3.12	1.47	150.02	4.23	2.00	148.9	5.71	2.70
6.54	39.31	209.8	3.12	1.29	154.74	4.23	1.75	152.4	5.71	2.36
6.74	47.95	216.2	3.12	1.57	159.47	4.23	2.13	155.9	5.80	2.92
6.94	50.96	222.6	3.12	1.67	164.20	4.23	2.26	159.3	5.80	3.10
7.14	30.60	229.1	3.12	1.00	168.92	4.23	1.36	162.8	5.71	1.84
7.34	33.53	235.5	3.12	1.10	173.65	4.23	1.49	166.3	5.71	2.01
7.54	41.73	241.9	3.12	1.37	178.37	4.23	1.85	169.8	5.13	2.25
7.74	34.09	248.3	3.12	1.12	183.10	4.23	1.52	174.1	4.40	1.57
7.94	39.52	254.7	3.12	1.29	187.82	4.23	1.76	178.9	3.92	1.63
8.14	35.07	261.1	3.12	1.15	192.55	4.23	1.56	184.3	2.80	1.03
8.34	16.67	267.6	3.12	0.55	197.27	4.23	0.74	193.2	2.26	0.40
8.54	20.46	274.0	3.12	0.67	202.00	4.21	0.90	202	2.26	0.49
8.74	21.53	280.4	3.12	0.70	206.78	4.19	0.95	210.9	2.35	0.53
8.94	15.48	286.8	3.12	0.51	211.55	4.19	0.68	219	3.33	0.54
9.14	31.12	293.2	3.12	1.02	216.33	4.19	1.37	222.9	5.13	1.68
9.34	37.17	299.6	3.12	1.22	221.10	4.19	1.63	226.8	5.13	2.00
9.54	27.60	306.1	3.12	0.90	225.88	4.19	1.21	230.7	5.06	1.47
9.74	27.77	312.5	3.12	0.91	230.65	4.19	1.22	234.7	5.13	1.50
9.94	22.23	318.9	3.12	0.73	235.43	4.18	0.98	238.5	5.33	1.24
10.14	31.94	325.3	3.12	1.05	240.21	4.19	1.40	242.2	5.41	1.81
10.34	36.37	331.7	3.12	1.19	244.98	4.19	1.60	245.9	5.48	2.09
10.54	31.71	338.1	3.12	1.04	249.76	4.19	1.39	249.5	5.80	1.93
10.74	27.04	344.6	3.12	0.88	254.53	4.19	1.19	252.8	5.97	1.70
10.94	29.54	351.0	3.12	0.97	259.31	4.19	1.30	256.2	5.97	1.85
11.14	28.92	357.4	3.12	0.95	264.08	4.19	1.27	259.5	6.06	1.84
11.34	38.72	363.8	3.12	1.27	268.86	4.18	1.70	262.8	5.97	2.43
11.54	40.92	370.2	3.12	1.34	273.64	4.19	1.80	266.2	5.33	2.29
11.74	37.43	376.6	3.12	1.23	278.41	4.19	1.65	270.3	3.05	1.20
11.94	27.78	383.1	3.12	0.91	283.19	4.19	1.22	279.3	3.35	0.98
12.05	21.89	386.6	3.12	0.72	285.81	4.19	0.96	279.55	8.00	1.84
12.1	17.87	388.2	3.12	0.58	287.01	4.18	0.79	281.3	2.85	0.53
12.15	14.85	389.8	3.12	0.49	288.20	4.20	0.66	283.06	2.84	0.44
12.2	15.36	391.4	3.12	0.50	289.39	4.18	0.67	284.82	2.84	0.46
12.25	15.86	393.0	3.12	0.52	290.59	4.18	0.70	286.58	2.85	0.47
12.3	17.37	394.6	3.12	0.57	291.78	4.18	0.76	288.33	2.85	0.52
12.35	17.87	396.2	3.12	0.58	292.98	4.18	0.79	290.09	2.84	0.53
12.4	18.37	397.8	3.12	0.60	294.17	4.20	0.81	291.85	2.84	0.55
12.45	19.88	399.4	3.12	0.65	295.36	4.18	0.87	293.61	2.85	0.59
12.5	22.39	401.0	3.12	0.73	296.56	4.18	0.98	295.36	2.90	0.68
12.55	22.39	402.6	3.12	0.73	297.75	4.18	0.98	297.06	3.09	0.73
12.6	20.38	404.2	3.12	0.67	298.95	4.18	0.90	298.6	3.25	0.69
12.65	19.88	405.8	3.12	0.65	300.14	4.33	0.90	300.14	3.24	0.68
12.7	19.38	407.4	3.12	0.63	301.26	4.44	0.90	301.69	3.24	0.66
12.75	18.37	409.0	3.12	0.60	302.39	4.44	0.86	303.23	3.25	0.63
12.8	18.87	410.7	3.12	0.62	303.51	4.46	0.88	304.77	3.24	0.64
12.85	16.36	412.3	3.12	0.54	304.63	4.44	0.76	306.32	3.24	0.56
12.9	14.35	413.9	3.12	0.47	305.76	4.44	0.67	307.86	3.25	0.49
12.95	13.35	415.5	3.12	0.44	306.88	4.46	0.63	309.4	3.24	0.45
13	13.35	417.1	3.12	0.44	308.00	4.44	0.62	310.95	3.24	0.45
13.05	15.86	418.7	3.12	0.52	309.13	4.45	0.74	312.49	3.24	0.54
13.15	17.87	421.9	3.12	0.58	311.37	4.45	0.84	315.58	3.24	0.61
13.2	16.86	423.5	3.12	0.55	312.50	4.44	0.79	317.12	3.25	0.57
13.25	15.36	425.1	3.12	0.50	313.62	4.46	0.72	318.66	3.25	0.52
13.3	14.85	426.7	3.12	0.49	314.74	4.44	0.69	320.2	3.24	0.50
13.35	14.35	428.3	3.12	0.47	315.87	4.44	0.67	321.75	3.24	0.49
13.4	14.35	429.9	3.12	0.47	316.99	4.46	0.67	323.29	3.25	0.49
13.45	14.85	431.5	3.12	0.49	318.11	4.44	0.69	324.83	3.24	0.50
13.5	14.35	433.1	3.12	0.47	319.24	4.44	0.67	326.38	3.68	0.55
13.55	13.35	434.7	3.12	0.44	320.36	4.46	0.63	327.55	4.55	0.64
13.6	12.84	436.3	3.12	0.42	321.48	4.44	0.60	328.58	4.83	0.65
13.65	15.36	437.9	3.12	0.50	322.61	4.44	0.72	329.62	4.81	0.78
13.7	16.36	439.5	3.12	0.54	323.73	4.46	0.77	330.66	4.83	0.83
13.75	16.86	441.1	3.12	0.55	324.85	4.46	0.79	331.69	4.83	0.86
13.8	18.87	442.7	3.12	0.62	325.97	4.44	0.88	332.73	4.81	0.95
13.85	18.87	444.3	3.12	0.62	327.10	4.44	0.88	333.77	4.81	0.95
13.9	19.88	445.9	3.12	0.65	328.22	4.46	0.93	334.81	4.83	1.01
13.95	19.88	447.5	3.12	0.65	329.34	4.44	0.93	335.84	4.83	1.01
14	19.38	449.1	3.12	0.63	330.47	4.44	0.90	336.88	4.81	0.98
14.05	23.40	450.8	3.12	0.77	331.59	4.46	1.10	337.92	4.83	1.19
14.1	23.40	452.4	3.12	0.77	332.71	4.45	1.09	338.95	4.82	1.19
14.2	23.90	455.6	3.12	0.78	334.96	4.45	1.12	341.03	5.05	1.27
14.25	25.41	457.2	3.12	0.83	336.08	4.44	1.19	341.92	5.75	1.53
14.3	24.91	458.8	3.12	0.82	337.21	4.44	1.16	342.77	5.92	1.55
14.35	25.41	460.4	3.12	0.83	338.33	4.46	1.19	343.61	5.92	1.58
14.4	23.90	462.0	3.12	0.78	339.45	4.44	1.12	344.46	5.88	1.48
14.45	24.91	463.6	3.12	0.82	340.58	4.44	1.16	345.31	5.92	1.55
14.5	24.40	465.2	3.12	0.80	341.70	4.46	1.14	346.15	5.92	1.52
14.55	23.40	466.8	3.12	0.77	342.82	4.44	1.09	347	5.92	1.45
14.6	22.90	468.4	3.12	0.75	343.95	4.44	1.07	347.84	5.92	1.42
14.65	22.90	470.0	3.12	0.75	345.07	4.46	1.07	348.69	5.88	1.41
14.7	22.39	471.6	3.12	0.73	346.19	4.44	1.04	349.54	5.92	1.39
14.75	22.90	473.2	3.12	0.75	347.32	4.44	1.07	350.38	5.92	1.42
