#%		No tune			Min tun Muller/MacDo	Age model Larrasoana
#%m	gterr	age	sr	flux	age	sr	flux 	age	sr	flux
0.0400	0.0995	1.3539	2.9545	0.2941	0.7561	4.3555	0.4335	0.2689	4.7834	0.4761
0.0500	0.1085	1.6924	2.9545	0.3204	0.9452	4.3554	0.4724	0.3361	4.7832	0.5188
0.0600	0.1140	2.0308	2.9545	0.3368	1.1342	4.3553	0.4965	0.4034	4.7830	0.5453
0.0700	0.1162	2.3693	2.9545	0.3432	1.3232	4.3551	0.5059	0.4706	4.7828	0.5555
0.0800	0.1151	2.7078	2.9545	0.3400	1.5123	4.3550	0.5012	0.5378	4.7827	0.5504
0.0900	0.1120	3.0462	2.9545	0.3309	1.7013	4.3549	0.4877	0.6050	4.7825	0.5356
0.1000	0.1086	3.3847	2.9545	0.3209	1.8903	4.3547	0.4730	0.6723	4.7823	0.5194
0.1100	0.1062	3.7232	2.9545	0.3136	2.0794	4.3546	0.4623	0.7395	4.7821	0.5076
0.1200	0.1049	4.0617	2.9545	0.3100	2.2684	4.3545	0.4569	0.8067	4.7820	0.5017
0.1300	0.1048	4.4001	2.9545	0.3095	2.4574	4.3543	0.4562	0.8740	4.7818	0.5010
0.1400	0.1051	4.7386	2.9545	0.3104	2.6465	4.3542	0.4575	0.9412	4.7816	0.5024
0.1500	0.1062	5.0771	2.9545	0.3136	2.8355	4.3541	0.4622	1.0084	4.7814	0.5076
0.1600	0.1088	5.4155	2.9545	0.3214	3.0245	4.3539	0.4736	1.0756	4.7813	0.5201
0.1700	0.1125	5.7540	2.9545	0.3323	3.2136	4.3538	0.4896	1.1429	4.7811	0.5377
0.1800	0.1165	6.0925	2.9545	0.3441	3.4026	4.3537	0.5070	1.2101	4.7809	0.5568
0.1900	0.1208	6.4309	2.9545	0.3568	3.5916	4.3535	0.5258	1.2773	4.7807	0.5774
0.2000	0.1252	6.7694	2.9545	0.3700	3.7807	4.3534	0.5452	1.3445	4.7806	0.5987
0.2100	0.1300	7.1079	2.9545	0.3841	3.9697	4.3532	0.5659	1.4118	4.7804	0.6215
0.2200	0.1346	7.4464	2.9545	0.3977	4.1587	4.3531	0.5860	1.4790	4.7802	0.6435
0.2300	0.1391	7.7848	2.9545	0.4109	4.3477	4.3530	0.6054	1.5462	4.7801	0.6648
0.2400	0.1428	8.1233	2.9545	0.4218	4.5368	4.3528	0.6215	1.6134	4.7799	0.6824
0.2500	0.1448	8.4618	2.9545	0.4277	4.7258	4.3527	0.6301	1.6807	4.7797	0.6920
0.2600	0.1437	8.8002	2.9545	0.4245	4.9148	4.3526	0.6254	1.7479	4.7795	0.6868
0.2700	0.1386	9.1387	2.9545	0.4095	5.1039	4.3524	0.6033	1.8151	4.7794	0.6625
0.2800	0.1292	9.4772	2.9545	0.3818	5.2929	4.3523	0.5625	1.8824	4.7792	0.6176
0.2900	0.1177	9.8157	2.9545	0.3477	5.4819	4.3522	0.5122	1.9496	4.7790	0.5625
0.3000	0.1069	10.1541	2.9545	0.3159	5.6710	4.3520	0.4653	2.0168	4.7788	0.5110
0.3100	0.0992	10.4926	2.9545	0.2932	5.8600	4.3519	0.4318	2.0840	4.7787	0.4742
0.3200	0.0951	10.8311	2.9545	0.2809	6.0490	4.3518	0.4138	2.1513	4.7785	0.4543
0.3300	0.0934	11.1695	2.9545	0.2759	6.2381	4.3516	0.4064	2.2185	4.7783	0.4462
0.3400	0.0934	11.5080	2.9545	0.2759	6.4271	4.3515	0.4064	2.2857	4.7781	0.4462
0.3500	0.0943	11.8465	2.9545	0.2786	6.6161	4.3514	0.4104	2.3529	4.7780	0.4506
0.3600	0.0952	12.1850	2.9545	0.2814	6.8052	4.3512	0.4144	2.4202	4.7778	0.4550
0.3700	0.0960	12.5234	2.9545	0.2836	6.9942	4.3511	0.4177	2.4874	4.7776	0.4587
0.3800	0.0960	12.8619	2.9545	0.2836	7.1832	4.3510	0.4177	2.5546	4.7774	0.4586
0.3900	0.0954	13.2004	2.9545	0.2818	7.3723	4.3508	0.4150	2.6218	4.7773	0.4557
0.4000	0.0945	13.5388	2.9545	0.2791	7.5613	4.3507	0.4110	2.6891	4.7771	0.4513
0.4100	0.0935	13.8773	2.9545	0.2764	7.7503	4.3506	0.4069	2.7563	4.7769	0.4468
0.4200	0.0926	14.2158	2.9545	0.2736	7.9394	4.3504	0.4029	2.8235	4.7767	0.4424
0.4300	0.0912	14.5543	2.9545	0.2695	8.1284	4.3503	0.3969	2.8908	4.7766	0.4358
0.4400	0.0897	14.8927	2.9545	0.2650	8.3174	4.3502	0.3902	2.9580	4.7764	0.4284
0.4500	0.0883	15.2312	2.9545	0.2609	8.5065	4.3500	0.3841	3.0252	4.7762	0.4218
0.4600	0.0868	15.5697	2.9545	0.2564	8.6955	4.3499	0.3774	3.0924	4.7760	0.4144
0.4700	0.0851	15.9081	2.9545	0.2514	8.8845	4.3498	0.3701	3.1597	4.7759	0.4063
0.4800	0.0831	16.2466	2.9545	0.2454	9.0736	4.3496	0.3614	3.2269	4.7757	0.3968
0.4900	0.0815	16.5851	2.9545	0.2409	9.2626	4.3495	0.3547	3.2941	4.7755	0.3894
0.5000	0.0814	16.9235	2.9545	0.2404	9.4516	4.3494	0.3540	3.3613	4.7753	0.3886
0.5100	0.0825	17.2620	2.9545	0.2436	9.6407	4.3492	0.3586	3.4286	4.7752	0.3938
0.5200	0.0845	17.6005	2.9545	0.2495	9.8297	4.3491	0.3673	3.4958	4.7750	0.4033
0.5300	0.0866	17.9390	2.9545	0.2559	10.0187	4.3490	0.3767	3.5630	4.7748	0.4136
0.5400	0.0889	18.2774	2.9545	0.2627	10.2078	4.3488	0.3867	3.6303	4.7747	0.4246
0.5500	0.0911	18.6159	2.9545	0.2691	10.3968	4.3487	0.3961	3.6975	4.7745	0.4348
0.5600	0.0932	18.9544	2.9545	0.2754	10.5858	4.3486	0.4054	3.7647	4.7743	0.4451
0.5700	0.0954	19.2928	2.9545	0.2818	10.7749	4.3484	0.4148	3.8319	4.7741	0.4554
0.5800	0.0971	19.6313	2.9545	0.2868	10.9639	4.3483	0.4221	3.8992	4.7740	0.4634
