#age	    d18O
 1212       0.69            
 1216       1.57            
 1220      -0.2             
 1223      -0.38            
 1227       0.17            
 1231       0.17            
 1242       0.25            
 1246       2.29            
 1249       2.07            
 1253       1.81            
 1260       0.86            
 1264       0.41            
 1268       1.72            
 1272       1.37            
 1275       1.66            
 1279       0.05            
 1292       1.68            
 1301       1.45            
 1308       0.75            
 1315      -0.37            
 1317       0.46            
 1329       0.81            
 1334      -0.61            
 1340       0.53            
 1346       1.25            
 1349      -0.3             
 1356      -2.57            
 1360       0.14            
 1367       0.05            
 1375      -0.71            
 1383       1.38            
 1390       0.57            
 1398      -2.14            
 1403      -1.35            
 1410      -1.09            
 1416       1.85            
 1423      -1.5             
 1429      -2.23            
 1435       0.23            
 1442      -0.23            
 1453      -0.18            
 1462       0.46            
 1471      -1.51            
 1474       0.29            
 1482      -0.63            
 1489      -0.05            
1505       1.79            
 1512       0.99            
 1520       0.36            
 1528       0.05            
 1535      -0.02            
 1543       0.61            
 1551      -0.13            
 1558       0.78            
 1564      -0.01            
 1574       1.64            
 1584       0.6             
 1594       1.2             
 1602      -1.62            
 1608       0.43            
 1617       0.64            
 1625       0.8             
 1634      -0.41            
 1641      -1.06            
 1644      -0.06            
 1648       0.58            
 1652       0.94            
 1656       1.41            
 1661       0.27            
 1665       1.04            
 1670       0.35            
 1674      -0.08            
 1678      -0.04            
 1683      -0.49            
 1687      -0.02            
 1691      -0.36            
 1696      -0.51            
 1700       0.43            
 1705       1.09            
 1710       0.41            
 1716       0.32            
 1720       0.5             
 1728       0.84            
 1735      -1.33            
 1740      -0.6             
 1748       0.5             
 1756      -0.68            
 1761      -0.29            
 1765      -0.27            
 1770      -0.23            
 1776      -0.46            
 1781       0.27            
 1786       1.08            
 1792       0.44            
 1797       1.11            
 1802       0.91            
 1807      -0.9             
 1817       0.46            
 1823       0.17            
 1828      -1.44            
 1834       0.71            
 1840      -0.14            
 1846      -1.4             
 1852      -2.62            
 1857      -3.05            
 1862       0.59            
 1867      -0.02            
 1869      -1.04            
 1871      -1.85            
 1873      -1.11            
 1875      -0.48            
 1878      -0.19            
 1883      -0.21            
 1888      -0.07            
 1893      -0.21            
 1898       0.76            
 1903       0.71            
 1908       0.16            
 1913       0.22            
 1918      -1.32            
 1920      -1               
 1921      -2.03            
 1927       0.14            
 1929      -0.38            
 1935       0.07            
 1941      -0.53            
 1942      -0.77            
 1945      -0.35            
 1950       1.15            
 1955      -0.06            
 1960       0.1             
 1965      -0.47            
 1968      -0.41            
 1971      -0.25            
 1974      -0.25            
 1978      -0.57            
 1981       0.82            
 1984       0.54            
 1987       0.26            
 1990      -0.41            
 1993      -0.17            
 1996       0.52            
 2000      -0.18            
 2003      -0.01            
 2006      -0.63            
 2009      -0.4             
 2012      -0.52            
 2015      -1.08            
 2018      -0.64            
 2022      -0.11            
 2025      -0.04            
 2028       0.16            
 2031       0.21            
 2034       0.03            
 2037       0.54            
 2041       0.57            
 2044       0.07            
 2047       0.21            
 2050       0.32            
 2053       0.12            
 2056       0.29            
 2059       0.09            
 2063      -0.5             
 2066       0.15            
 2069       0.26            
 2072       0.27            
 2075       1.57            
 2078      -0.07            
 2081       0.56            
 2085      -0.05            
 2088      -0.16            
 2091      -1.1             
 2093      -1.82            
 2096      -1.9             
 2098       0.32            
 2100       0.72            
 2104       0.19            
 2108       0.08            
 2112      -1.14            
 2115      -1.37            
 2117       1.39            
 2120       1.27            
 2123       0.63            
 2127       0.2             
 2130      -1.07            
 2134      -0.91            
 2137      -1.5             
 2141      -0.72            
 2144      -0.29            
 2148       0.73            
 2151       2.03            
 2154       1.72            
 2158       1.79            
 2161       0.74            
 2164       0.02            
 2168      -0.31            
 2171      -0.25            
 2174      -0.92            
 2178      -1.2             
 2181      -1.18            
 2183      -2.32            
 2185       0.1             
 2187       0.47            
 2191       0.77            
 2195       0.41            
 2199       0.28            
 2204      -0.98            
 2208      -2.01            
 2210      -0.62            
 2213      -0.46            
 2216      -0.34            
 2219      -0.25            
 2221      -0.49            
 2224      -1.18            
 2227      -1.45            
 2230      -0.41            
 2233      -0.99            
 2236       0.75            
 2240       0.59            
 2244       0.18            
 2248      -1.01            
 2252      -1.7             
 2256      -1.31            
 2259      -0.56            
 2263      -0.61            
 2266      -0.63            
 2270      -0.76            
 2273      -0.42            
 2277      -0.31            
 2281       0.09            
 2284       0.12            
 2288      -0.31            
